,City Name,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
0,butaritari,24,99,3.07,85.45,12.03
1,tommot,64,78,58.97,-2.3,2.3
2,rikitea,76,96,-23.12,80.46,15.55
3,albany,90,92,42.65,37.4,3.36
4,dobrljin,56,100,45.15,30.2,3.36
5,bredasdorp,92,77,-34.53,69.8,8.05
6,port alfred,100,98,-33.59,70.29,5.88
7,constitucion,75,48,23.99,71.6,3.2
8,punta arenas,0,57,-53.16,51.8,17.22
9,coquimbo,0,77,-29.95,62.6,7.34
10,sarkand,92,87,45.41,28.35,3.47
11,iqaluit,5,66,63.75,-29.21,2.24
12,doka,0,51,13.52,70.15,11.36
13,provideniya,40,71,64.42,3.2,29.08
14,hilo,40,58,19.71,78.98,6.93
15,bitung,20,74,1.44,84.2,2.24
16,mataura,56,42,-46.19,72.4,14.16
17,hobart,0,56,-42.88,64.4,20.8
18,san quintin,0,75,17.54,67.09,4.88
19,alugan,92,95,12.22,78.79,16.06
20,teya,75,73,21.05,77.0,11.41
21,arraial do cabo,0,73,-22.97,77.0,16.11
22,costinesti,0,85,43.95,10.4,8.05
23,saint-philippe,90,91,45.36,31.84,8.05
24,fairhope,40,100,30.52,62.4,4.99
25,sabha,24,74,27.03,32.22,2.86
26,denpasar,20,79,-8.65,84.2,5.82
27,chuy,0,80,-33.69,74.43,15.28
28,ushuaia,40,57,-54.81,48.2,16.11
29,atuona,68,100,-9.8,81.0,14.94
30,thinadhoo,88,100,0.53,82.71,14.83
31,busselton,0,99,-33.64,67.95,17.11
32,new norfolk,0,60,-42.78,64.4,20.8
33,sulangan,8,96,11.14,81.04,17.67
34,ome,20,41,35.8,41.65,16.11
35,samarai,0,97,-10.62,84.82,14.27
36,birao,0,47,10.3,65.92,10.02
37,gilbues,36,43,-9.83,79.83,5.26
38,bethel,90,84,60.79,2.46,8.05
39,abha,0,40,18.22,51.8,1.97
40,kholodnyy,56,64,62.72,-24.4,2.24
41,hualmay,36,79,-11.1,70.74,3.58
42,viedma,92,29,-40.81,71.82,21.54
43,mahebourg,40,78,-20.41,78.8,13.87
44,tasiilaq,92,95,65.61,32.0,33.33
45,havre-saint-pierre,75,78,50.23,12.2,11.41
46,vaini,0,76,15.34,55.4,2.24
47,sabla,0,31,12.75,60.93,9.62
48,kapaa,40,64,22.08,77.88,6.93
49,castro,75,66,-42.48,50.0,3.36
50,jamestown,0,83,-33.21,63.9,9.35
51,ilulissat,88,77,69.22,6.8,20.8
52,kahului,40,51,20.89,77.94,17.22
53,bluff,76,88,-23.58,78.07,12.93
54,henties bay,8,100,-22.12,60.12,5.26
55,georgetown,40,83,6.8,77.67,6.93
56,brae,24,64,60.4,39.2,14.99
57,puerto ayora,20,65,-0.74,80.6,16.11
58,ponta do sol,32,97,-20.63,64.44,5.26
59,komsomolskiy,48,61,67.55,-7.57,6.71
60,longyearbyen,75,73,78.22,23.0,18.34
61,kapuskasing,90,92,49.42,30.2,3.36
62,loandjili,20,88,-4.77,80.6,5.82
63,shingu,40,60,33.72,42.8,20.8
64,road town,40,69,18.42,77.0,14.99
65,kupang,40,70,-10.16,87.8,5.82
66,namatanai,80,99,-3.66,83.79,8.5
67,chivay,0,39,-15.64,42.79,5.37
68,itupiranga,0,94,-5.13,77.0,3.36
69,cape town,20,82,-33.93,66.2,16.11
